Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Troy Merritt,60.79,2017,64.71,28.88,58.51,71.398,265,82.0,289.8
Brett Drewitt,60.73,2017,64.78,29.36,59.23,72.13,95,57.0,286.4
Billy Hurley III,60.57,2017,63.61,28.76,58.78,71.176,333,80.0,276.9
Shawn Stefani,60.53,2017,67.48,29.28,59.55,70.983,188,72.0,294.0
Kevin Na,60.46,2017,65.46,28.79,62.06,70.399,584,86.0,283.6
Mark Hubbard,60.41,2017,65.39,29.5,58.57,71.87100000000001,124,81.0,282.7
Morgan Hoffmann,60.39,2017,63.57,28.81,60.14,71.107,565,92.0,293.9
Rafa Cabrera Bello,60.33,2017,62.6,28.8,60.74,70.693,615,63.0,291.0
Hudson Swafford,60.27,2017,68.21,29.49,55.53,70.618,921,94.0,305.1
Cameron Percy,60.18,2017,69.91,29.78,60.23,71.03,291,71.0,292.5
Jonas Blixt,60.1,2017,61.51,28.16,58.56,71.283,578,74.0,288.8
Kelly Kraft,60.06,2017,63.15,29.32,53.5,71.491,672,75.0,291.9
Daniel Berger,60.02,2017,66.93,28.73,62.8,70.12100000000001,"1,623",80.0,300.4
Louis Oosthuizen,59.98,2017,65.13,28.91,62.91,70.22,956,69.0,295.2
Mark Anderson,59.97,2017,65.6,29.13,61.18,71.5,98,54.0,283.8
Sean O'Hair,59.91,2017,66.19,29.06,57.52,70.801,707,84.0,297.2
Bud Cauley,59.83,2017,67.38,29.24,59.21,70.432,666,60.0,303.8
Anirban Lahiri,59.82,2017,63.43,28.6,55.06,70.79899999999999,667,72.0,297.0
Greg Chalmers,59.8,2017,59.86,28.17,59.26,71.758,156,75.0,278.0
Billy Horschel,59.8,2017,68.19,29.86,54.47,70.832,"1,068",88.0,299.5
Tyrone Van Aswegen,59.79,2017,66.38,29.36,58.94,71.181,407,105.0,287.2
Michael Kim,59.71,2017,65.68,28.96,58.81,70.707,483,92.0,300.7
Sung Kang,59.65,2017,66.07,29.08,56.98,70.49600000000001,798,104.0,296.4
Mackenzie Hughes,59.63,2017,64.74,29.07,58.64,71.044,974,80.0,301.2
Harold Varner III,59.61,2017,67.68,29.69,56.94,70.96600000000001,375,101.0,302.4
